Fecha,PB_Prophet,Demanda_Esperada,ONI_Esperado
2025-01-01,658.3623016348364,,
2025-01-02,656.6209883970434,,
2025-01-03,654.006309356306,,
2025-01-04,647.6324847158519,,
2025-01-05,636.1276244312919,,
2025-01-06,650.1049030540356,,
2025-01-07,653.5151735197803,,
2025-01-08,655.7548348616523,,
2025-01-09,656.2762608580151,,
2025-01-10,655.9478395818679,,
2025-01-11,651.8349926086009,,
2025-01-12,642.5190234296398,,
2025-01-13,658.5694076489117,,
2025-01-14,663.8974238663826,,
2025-01-15,667.8649142806493,,
2025-01-16,669.8954595894576,,
2025-01-17,670.8349998435428,,
2025-01-18,667.733256305448,,
2025-01-19,659.1627951227529,,
2025-01-20,675.6913418442215,,
2025-01-21,681.2352473984012,,
2025-01-22,685.1679014785104,,
2025-01-23,686.930389806117,,
2025-01-24,687.391443449639,,
2025-01-25,683.6280559174492,,
2025-01-26,674.2436330537327,,
2025-01-27,689.8393118403179,,
2025-01-28,694.3663778808381,,
2025-01-29,697.23360792349,,
2025-01-30,697.9168646972037,,
2025-01-31,697.3180225592323,,
