Fecha,Real,Regresión Lineal,Random Forest (Optimizado),XGBoost (Optimizado)
2025-01-01,215.5941,179.74218201073154,134.19798155950164,159.6768
2025-01-02,459.5181,273.6941187242096,92.9238472763511,195.02045
2025-01-03,507.1388,299.55433785853506,155.67858974758022,203.18726
2025-01-04,415.5684,278.82892540340106,92.98886345898056,195.02045
2025-01-05,175.3064,238.1457083618419,99.99122593650789,180.32416
2025-01-06,315.5946,249.61736297845823,100.83012188855591,181.08035
2025-01-07,343.5565,328.9716845206211,126.194330392674,280.31934
2025-01-08,241.037,363.053473891286,424.59530610173164,419.26
2025-01-09,221.4987,360.36521314257425,370.09016902200574,419.26
2025-01-10,218.9209,368.3711998923825,412.40396352236655,476.73676
2025-01-11,267.9271,335.6939696006316,203.99359320471748,315.77786
2025-01-12,296.6014,274.3180042685642,93.22581868796726,195.02045
2025-01-13,377.3894,356.3344552277381,353.26698487633473,413.28665
2025-01-14,443.5493,380.6496593752586,428.8126889890331,502.676
2025-01-15,547.2532,379.92124850410096,428.8126889890331,502.676
2025-01-16,596.2319,382.135878865737,428.8126889890331,502.676
2025-01-17,685.7283,389.80215830343593,432.38400948903313,505.1186
2025-01-18,665.626,339.8945811715224,373.73235318888896,364.0733
2025-01-19,638.1773,284.4340960532056,112.56587648185422,197.35403
2025-01-20,651.4042,383.2268619642422,428.8126889890331,502.676
2025-01-21,676.7806,393.35601941473385,430.7204377747474,505.1186
2025-01-22,701.4657,397.3769780801823,428.03814638189033,505.1186
2025-01-23,737.2064,401.3620061645421,427.2827844414141,508.96707
2025-01-24,679.7405,402.136146866176,427.06426558427125,508.96707
2025-01-25,720.5593,361.06422626556855,370.09016902200574,419.26
2025-01-26,755.3286,277.51582598543996,93.52238447187227,195.02045
2025-01-27,726.3682,374.86156940354897,431.7282080779221,480.38232
2025-01-28,730.2936,382.58337792111183,428.8126889890331,502.676
2025-01-29,756.3833,382.66503833267666,428.8126889890331,502.676
2025-01-30,698.2057,374.8485037376986,431.7282080779221,480.38232
2025-01-31,634.8605,376.95207593960663,430.89592808903313,480.38232
